employee_id,full_name,role_raw,city_raw,department_raw,project_raw,is_payroll,employee_status,salary,hire_date,source_language
21,Margaret Hawkins DDS,data analyst,Berlin,I.T.,,False,ACTIVE,58746.26,2023-01-18,ru
22,Patty Perez,project manager,ISTANBUL,Information Technology,,True,Active ,72204.34,2016-10-23,tr
23,Ethan Adams,civil engineer,"London, UK",IT,,True,active,78300.38,2023-12-05,en
24,Tommy Walter,PROJECT MANAGER,new york,Engineering,,True,TERMINATED,116288.19,2016-12-26,ru
25,Matthew Foster,Data Analyst,Moskva,Fin.,,True,terminated,58783.35,2024-02-27,ru
26,Judy Baker,Civil Engineer,NYC,engineering,,True,Terminated,57776.83,2022-08-15,tr
27,Justin Baker,HR ANALYST,New York,HR,,True,active,53642.18,2016-04-18,ru
28,Stephanie Ross,data Analyst,berlin,Finance,,True,Active,57449.08,2024-07-05,en
29,Zachary Hicks,data Analyst,DUBAI,I.T.,,True,Terminated,74404.44,2023-05-23,en
30,Anthony Rodriguez,Project Manager,BERLIN,Project Management,,True,Active ,100333.08,2020-09-24,ru
31,Rebecca Henderson,ACCOUNTANT,dubai,HR,,True,terminated,72534.14,2015-04-11,en
32,James Ferrell,misc,Istambul,IT,,True,Active ,80858.99,2017-06-15,en
33,Tricia Valencia,hr analyst,"Dubai, UAE",İnsan Kaynakları,,True,terminated,61689.44,2024-12-30,ru
34,Nathan Maldonado,Hr Analyst,Berlin ,Information Technology,,True,Terminated,65996.57,2017-09-06,ru
35,Debra Davidson,Project Manager,London,finance,,False,TERMINATED,77541.53,2019-08-27,ru
36,Jeffrey Chavez,Civil Engineer,NEW YORK,PMO,,True,Terminated,78363.18,2019-04-08,ru
37,Sherri Baker,Software Engineer,moscow,Fin.,,True,terminated,96566.73,2023-02-14,en
38,Cassandra Gaines,software engineer,london,IT,,False,Active ,95010.4,2018-08-31,ru
39,Elizabeth Fowler,civil Engineer,LONDON,PM,,True,active,68998.41,2023-06-17,en
40,Brittany Farmer,HR Analyst,istanbul,İnsan Kaynakları,,True,Active ,59099.24,2016-11-18,tr
41,Paula Moreno,civil engineer,Berlin,ENG,,True,TERMINATED,93326.91,2022-09-29,tr
42,Fred Smith,accountant,Istanbul,Finance,,True,TERMINATED,61117.13,2024-03-22,ru
43,Sherry Decker,Data Analyst,MOSCOW,Fin.,,True,terminated,88791.58,2020-06-03,ru
44,Anthony Humphrey,CIVIL ENGINEER,LONDON,finance,,True,terminated,77793.99,2018-08-24,en
45,Angelica Tucker,Project Manager,london,FIN,,False,TERMINATED,117403.13,2023-07-03,en
46,Philip Cannon,civil engineer,"Dubai, UAE",PMO,,True,terminated,64732.21,2018-11-09,ru
47,John Pierce,Project Manager,DUBAI,Fin.,,False,terminated,79629.21,2017-01-28,en
48,Shane Henderson,Civil Engineer,Istambul,FIN,,True,terminated,67090.7,2015-08-12,tr
49,Joshua Blair,CIVIL ENGINEER,new york,Project Management,,True,Terminated,62374.55,2024-03-21,en
50,Eric Carney,data analyst,"London, UK",İnsan Kaynakları,,True,Active,88219.4,2019-09-01,tr
51,Jessica Holmes,Software eng.,berlin,Information Technology,,True,TERMINATED,84849.72,2023-07-22,en
52,Danny Morgan,HR Analyst,dubai,???,,True,active,55212.94,2022-12-05,ru
53,Crystal Robinson,PROJECT MANAGER,"Dubai, UAE",human resources,,False,Active ,81240.47,2015-09-02,en
54,Mark Perez,software engineer,NEW YORK,I.T.,,True,TERMINATED,91163.05,2021-09-15,en
55,Shannon Jones,civil engineer,LONDON,I.T.,,True,active,81891.26,2020-04-11,tr
56,Michael Lewis,Accountant,"Dubai, UAE",finance,,True,terminated,62250.44,2019-08-14,tr
57,Timothy Duncan,software engineer,LONDON,Project Management,,True,Terminated,128062.01,2022-05-17,tr
58,Richard Aguirre,Accountant,"London, UK",human resources,,True,TERMINATED,51548.35,2024-11-16,tr
59,Brent Jordan,HR Analyst,London,İnsan Kaynakları,,False,TERMINATED,55199.77,2016-04-26,tr
60,John Daniel,Software eng.,Istambul,FIN,,True,terminated,74401.73,2016-07-13,en
61,Victoria Garcia,CIVIL ENGINEER,New York City,FIN,,True,TERMINATED,81397.63,2018-09-23,tr
62,Gerald Hensley,HR Analyst,Berlin ,PM,,True,terminated,55269.38,2019-04-11,ru
63,Connor West,HR ANALYST,unknown,Project Management,,False,Active ,67761.04,2016-09-24,en
64,Donald Wright,data analyst,LONDON,Fin.,,True,TERMINATED,68300.33,2024-10-13,tr
65,Jessica Callahan,DATA ANALYST,Moskva ,human resources,,True,active,58445.51,2022-10-13,ru
66,Amber Kidd,Project Manager,Moscow,Finance,,False,Terminated,96558.32,2015-11-20,tr
67,Tracy House,Hr Analyst,london,project management,,True,Terminated,45234.94,2016-10-09,en
68,Carol Tucker,data Analyst,LONDON,I.T.,,True,Terminated,61972.59,2021-05-31,ru
69,James Brown,data Analyst,BERLIN,Finance,,True,terminated,79002.98,2020-07-27,ru
70,William Baker,Data Analyst,Istanbul ,finance,,True,TERMINATED,81861.48,2022-01-14,tr
71,Jordan Henderson,Accountant,moscow,Project Management,,True,active,59801.57,2024-10-29,ru
72,Whitney Peters,SW Engineer,BERLIN,ENG,,True,terminated,69894.46,2022-07-25,ru
73,Brittney Phillips,CIVIL ENGINEER,BERLIN,H.R.,,True,Active ,84960.46,2019-03-02,en
74,Lauren Daniels,ACCOUNTANT,dubai,Project Management,,True,TERMINATED,51896.51,2019-07-31,en
75,Amy Silva,software engineer,Istanbul,HR,,True,Active,73818.16,2021-01-21,ru
76,Sarah Moore,Software eng.,berlin,Project Management,,True,terminated,79122.53,2022-09-09,ru
77,Angela Lopez,project manager,BERLIN,H.R.,,False,Active ,80605.29,2018-09-28,en
78,Megan Young,n/a,Istanbul ,Engineering,,True,Active,54426.63,2021-01-21,ru
79,Steve Sanchez,CIVIL ENGINEER,Istanbul,human resources,,False,ACTIVE,65614.7,2015-09-18,ru
80,Lisa Barnes,Software Engineer,LONDON,IT,,True,ACTIVE,127661.7,2022-09-11,en
81,Kelly Donovan,PROJECT MANAGER,"London, UK",Human Resources,,False,active,101215.87,2021-09-12,tr
82,Mike Allen,civil engineer,New York City,Information Technology,,True,Active ,64139.74,2016-01-25,ru
83,Michael Evans,Hr Analyst,LONDON,FIN,,True,active,47330.75,2021-03-28,en
84,Paul Jones,PROJECT MANAGER,BERLIN,H.R.,,False,TERMINATED,84381.47,2016-09-25,tr
85,Zachary Ferrell,Accountant,london,HR,,True,ACTIVE,74216.64,2021-11-18,tr
86,Daniel Baker,Civil Engineer,Dubai,I.T.,,True,TERMINATED,91861.5,2022-05-16,ru
87,Shirley Suarez,Data Analyst,Moskva,Human Resources,,True,Terminated,60509.32,2021-09-08,en
88,Christopher Bass,data analyst,Moskva,Engineering,,True,Terminated,71998.16,2016-04-11,ru
89,Lisa Archer,ACCOUNTANT,London,Fin.,,True,terminated,79533.37,2023-08-10,en
90,Aimee Montoya,civil Engineer,NYC,Finance,,False,terminated,76303.29,2018-12-21,en
91,Matthew Mcmillan,software engineer,London,Project Management,,True,TERMINATED,91287.49,2018-08-23,en
92,Brian Rodriguez,software engineer,Berlin ,Finance,,True,Active ,99057.57,2018-09-26,en
93,Denise Jacobs,accountant,Moskva ,İnsan Kaynakları,,True,Terminated,74568.46,2017-03-19,en
94,Christina Walters,data Analyst,berlin,human resources,,True,TERMINATED,70711.68,2022-01-02,ru
95,John Whitehead,civil Engineer,DUBAI,Eng.,,True,TERMINATED,65986.95,2020-01-26,en
96,Anna Henderson,data analyst,moscow,Finance,,True,Terminated,88398.1,2021-05-30,tr
97,Aaron Wise,accountant,ISTANBUL,Information Technology,,False,Active ,76973.81,2016-12-07,en
98,Deborah Figueroa,Project Manager,Istambul,project management,,True,Terminated,86918.36,2015-09-27,ru
99,Jessica Smith,PROJECT MANAGER,Moskva ,PM,,False,ACTIVE,103180.61,2022-06-05,ru
100,Stephen Mckee,Accountant,Istanbul ,HR,,True,terminated,74868.77,2022-03-31,tr
101,Sandra Aguilar,project manager,LONDON,HR,,True,ACTIVE,94313.55,2024-06-20,en
102,Cameron Parker,Accountant,Berlin,finance,,True,Active,70785.37,2015-06-28,ru
103,Rebecca Valencia,data Analyst,new york,PM,,True,Active,83301.84,2021-05-25,ru
104,Christine Wright,HR Analyst,LONDON,PMO,,False,ACTIVE,57014.77,2020-10-14,en
105,Richard Henson,Software Engineer,New York,misc,,True,terminated,79432.47,2019-06-12,tr
106,Marc Moore,project manager,new york,Project Management,,True,ACTIVE,111958.81,2018-03-21,ru
107,Sharon Cherry,accountant,dubai,PMO,,True,active,75048.89,2016-03-31,ru
108,Sierra Johnson,,ISTANBUL,Human Resources,,False,terminated,67628.67,2023-01-22,en
109,Evelyn Galvan,project manager,New York City,İnsan Kaynakları,,True,terminated,74280.7,2020-09-09,tr
110,Sharon Cochran,civil Engineer,Berlin,PMO,,True,Terminated,69283.76,2016-02-29,tr
111,Richard Rodriguez,PROJECT MANAGER,DUBAI,Engineering,,True,TERMINATED,108957.13,2024-02-06,en
112,Shannon Walker,hr analyst,MOSCOW,HR,,True,active,52751.9,2015-05-30,tr
113,Julia Torres,DATA ANALYST,ISTANBUL,Finance,,True,terminated,70293.3,2018-10-20,en
114,Crystal Johnson,civil Engineer,"London, UK",FIN,,True,Active ,87893.65,2022-05-31,ru
115,Garrett Lin,Hr Analyst,New York City,Information Technology,,False,Terminated,66750.93,2023-11-16,en
116,Diana May,Civil Engineer,MOSCOW,finance,,False,terminated,64439.82,2015-05-13,tr
117,William Herrera,software engineer,Istambul,FIN,,True,ACTIVE,107221.45,2020-08-06,tr
118,Ashley Waller,data Analyst,London,FIN,,True,ACTIVE,89952.01,2016-12-08,tr
119,Victor Baker,data analyst,London,FIN,,True,Terminated,79913.32,2020-09-14,en
120,Jeffrey Chandler,software engineer,Moskva,engineering,,True,TERMINATED,95381.38,2015-09-27,ru
121,Larry Dixon,software engineer,"London, UK",Information Technology,,True,ACTIVE,94248.34,2023-10-01,tr
122,Kenneth Scott,accountant,dubai,Eng.,,True,Active,54859.01,2020-10-26,ru
123,April Frost,HR ANALYST,moscow,ENG,,True,Active,59516.16,2018-10-14,tr
124,Michelle Harmon,DATA ANALYST,Moscow,Human Resources,,True,Active ,56060.01,2018-05-22,ru
125,Helen Jones,civil engineer,Istambul,Fin.,,True,Active ,73577.69,2018-07-31,tr
126,Erin Edwards,ACCOUNTANT,New York City,ENG,,True,ACTIVE,53675.66,2019-04-23,tr
127,Michelle Evans,ACCOUNTANT,london,ENG,,True,terminated,64947.97,2015-04-05,en
128,Jason Powell,Accountant,"London, UK",engineering,,True,active,67925.56,2015-02-03,en
129,Cameron Fisher,SW Engineer,london,FIN,,False,Active ,101518.1,2020-01-19,tr
130,Megan Orr,hr analyst,NEW YORK,IT,,True,Terminated,53477.13,2020-09-16,ru
131,Elizabeth Kelley,HR ANALYST,Berlin,Human Resources,,True,TERMINATED,60156.51,2016-10-27,ru
132,Dustin Jordan,ACCOUNTANT,???,I.T.,,True,TERMINATED,64246.78,2021-07-18,ru
133,Mary Marshall,PROJECT MANAGER,Dubai,Information Technology,,True,active,78525.6,2016-08-28,tr
134,Daniel Kennedy,hr analyst,Istanbul,IT,,True,Terminated,55324.0,2020-04-15,tr
135,Rebecca Jackson,Accountant,Dubai,engineering,,True,TERMINATED,78700.56,2022-07-31,tr
136,Jose Schultz,HR Analyst,DUBAI,Information Technology,,True,TERMINATED,68537.14,2022-09-28,tr
137,Robert Potter,ACCOUNTANT,LONDON,PM,,False,Terminated,70298.67,2023-09-02,en
138,Courtney Gonzalez,Project Manager,New York,Finance,,True,TERMINATED,80103.4,2016-07-16,en
139,David Alvarez,Data Analyst,berlin,Engineering,,False,active,66560.28,2021-03-04,en
140,Angel Perry,Project Manager,"London, UK",project management,,False,TERMINATED,108436.25,2024-07-14,en
141,Cheyenne Horton,Software eng.,Istambul,Engineering,,True,ACTIVE,65602.37,2018-03-11,ru
142,David Douglas Jr.,project manager,"Dubai, UAE",Eng.,,True,ACTIVE,92945.72,2023-11-13,ru
143,Patricia Rodriguez,SW Engineer,berlin,Eng.,,True,Active ,77010.78,2017-12-04,ru
144,Christopher Rubio,PROJECT MANAGER,Istambul,FIN,,True,ACTIVE,104638.43,2019-07-19,tr
145,Amber Wright,PROJECT MANAGER,BERLIN,HR,,True,Active,93909.09,2022-11-15,tr
146,Joyce Solis,Accountant,london,Engineering,,True,terminated,53366.26,2021-01-07,en
147,Victoria Larson,Civil Engineer,ISTANBUL,Information Technology,,True,terminated,72819.31,2021-04-28,en
148,Stephanie Salazar,SW Engineer,Berlin ,Finance,,True,Active,67943.84,2015-10-10,ru
149,Kathy Rivas,Hr Analyst,moscow,project management,,True,Terminated,67927.88,2024-10-22,tr
150,Stephanie Manning,Accountant,ISTANBUL,human resources,,True,Active,72685.38,2019-10-04,tr
151,David Wright,project manager,london,Eng.,,True,terminated,106251.2,2023-08-04,en
152,Pamela Boyd,accountant,istanbul,Human Resources,,True,TERMINATED,76166.37,2021-01-19,en
153,Denise Jones,HR ANALYST,Moskva,I.T.,,True,terminated,48581.51,2015-09-07,tr
154,Devon Flores,CIVIL ENGINEER,berlin,PMO,,True,TERMINATED,71652.99,2020-04-23,en
155,Brenda Hall,civil Engineer,ISTANBUL,Eng.,,True,TERMINATED,70536.76,2020-01-17,ru
156,Michelle Brown,Project Manager,Moskva ,Engineering,,True,active,108084.82,2024-10-01,ru
157,Joshua Perry,data analyst,New York,engineering,,True,terminated,79631.9,2018-03-05,ru
158,Jason Stein,PROJECT MANAGER,LONDON,FIN,,False,Terminated,119065.92,2019-02-27,ru
159,Melissa Gates,Data Analyst,London,it,,True,ACTIVE,75441.12,2017-07-31,ru
160,Jamie Smith,Project Manager,berlin,PM,,True,Terminated,109748.78,2024-12-21,tr
161,Paul Castaneda,civil engineer,Dubai,IT,,False,Active ,80228.07,2020-02-11,ru
162,Jennifer Adkins,data Analyst,???,Information Technology,,True,active,69396.85,2020-08-19,tr
163,Lindsey Walker,Civil Engineer,"Dubai, UAE",Engineering,,True,Active,65096.73,2019-07-22,ru
164,Jeffrey Johnson,data analyst,berlin,ENG,,True,active,68200.93,2015-12-05,ru
165,Michael Powell,accountant,LONDON,IT,,True,Active,70768.63,2022-09-04,ru
166,John Anderson,Civil Engineer,Berlin,ENG,,True,Active ,66971.08,2022-08-05,tr
167,Alyssa Long,ACCOUNTANT,New York City,Engineering,,False,terminated,56964.32,2021-09-05,ru
168,Alyssa Day,Software Engineer,New York,Fin.,,True,TERMINATED,93070.12,2021-12-08,ru
169,Joel Williams,Hr Analyst,???,HR,,True,Active ,47663.77,2016-02-23,en
170,Daniel Murphy,ACCOUNTANT,Moskva,PMO,,False,terminated,60617.43,2019-04-27,en
171,Jamie Walton,Data Analyst,New York City,Project Management,,True,Active ,64412.16,2018-02-04,ru
172,Darlene Miller,TBD,New York City,HR,,True,TERMINATED,92893.08,2021-12-15,ru
173,Joshua Cooke,Data Analyst,New York City,Fin.,,True,Terminated,79335.23,2018-07-31,ru
174,Matthew Harrington,Project Manager,"Dubai, UAE",it,,True,Terminated,116603.36,2023-08-11,tr
175,Nicole Herring,PROJECT MANAGER,MOSCOW,Eng.,,True,Active ,76958.96,2019-09-30,ru
176,Alex Hernandez,Accountant,MOSCOW,Information Technology,,False,TERMINATED,79052.84,2015-12-15,en
177,Michael Elliott,ACCOUNTANT,???,Engineering,,True,Terminated,62913.67,2021-04-04,tr
178,Michael Wang,Software eng.,dubai,PM,,True,ACTIVE,96380.12,2024-04-28,tr
179,Lawrence Adkins,Software Engineer,ISTANBUL,FIN,,True,Terminated,93480.79,2024-02-01,tr
180,Robert Oconnell,Data Analyst,Moscow,Finance,,True,Active,66584.64,2022-01-23,en
181,Alexander Collins,Data Analyst,Istambul,Project Management,,True,TERMINATED,55155.75,2023-12-05,en
182,Tina Sanders,Project Manager,Berlin,it,,False,Active ,103535.07,2019-05-11,tr
183,Angela Vaughn,Software Engineer,London,FIN,,True,TERMINATED,108687.16,2019-03-10,tr
184,Ashley Barton,accountant,Istanbul ,PMO,,True,Terminated,69065.05,2021-03-22,en
185,Lindsay Martinez,Project Manager,LONDON,engineering,,True,ACTIVE,94230.45,2022-04-28,ru
186,Dr. Hannah Patterson,Software Engineer,unknown,PMO,,True,active,79334.42,2020-02-17,tr
187,Jonathan Peterson,accountant,"Dubai, UAE",IT,,True,TERMINATED,61005.85,2021-02-15,en
188,Samantha Garcia,civil Engineer,London,ENG,,True,Terminated,58479.32,2017-05-09,tr
189,Madison Poole,HR Analyst,BERLIN,Information Technology,,True,Active,59251.86,2022-11-23,ru
190,Jessica Gross,Hr Analyst,NEW YORK,Finance,,True,ACTIVE,48172.2,2024-04-16,en
191,Debra Morton,ACCOUNTANT,"Dubai, UAE",project management,,True,TERMINATED,63559.75,2020-10-12,tr
192,Karen Graham,PROJECT MANAGER,NYC,PMO,,True,active,92922.46,2020-12-29,ru
193,Debra Christian,Project Manager,Istambul,Eng.,,True,Terminated,76529.71,2023-07-20,en
194,Angelica Keith,Civil Engineer,Moscow,Project Management,,False,Terminated,93321.27,2022-04-16,ru
195,John Bishop,project manager,ISTANBUL,HR,,True,TERMINATED,78276.25,2017-08-17,ru
196,Allen Rosales,various,Dubai,Human Resources,,True,Active,57986.11,2024-08-24,ru
197,Daniel Salinas,Hr Analyst,dubai,Project Management,,False,active,54189.04,2024-10-21,en
198,Spencer Haynes,accountant,dubai,İnsan Kaynakları,,True,Active ,56391.66,2019-12-18,en
199,Adam Vaughan,ACCOUNTANT,Moscow,Engineering,,True,Terminated,59435.11,2021-03-16,tr
200,Nathan Freeman,HR Analyst,BERLIN,HR,,True,Terminated,64595.04,2017-09-14,ru
201,Melissa Brewer,Project Manager,Dubai,IT,,True,Active ,98419.02,2023-08-22,en
202,Ricky Davis II,project manager,Moskva ,Human Resources,,True,active,89898.75,2019-10-01,tr
203,Elizabeth Perkins,project manager,London,it,,True,terminated,80159.87,2022-02-11,tr
204,Joseph Coleman,Data Analyst,Dubai,Fin.,,False,Active,70206.93,2023-04-26,tr
205,Erin Warner,Data Analyst,dubai,Human Resources,,True,Active,67134.68,2019-03-04,en
206,David Martinez,Project Manager,DUBAI,Human Resources,,False,TERMINATED,105616.16,2019-01-15,en
207,Bryan Herrera,misc,london,finance,,True,Active,70128.43,2019-04-18,en
208,Cathy Robinson,HR ANALYST,Istanbul,Information Technology,,True,Active ,52998.38,2022-07-20,en
209,Dr. William Warren,software engineer,istanbul,IT,,True,Terminated,85195.36,2018-04-09,tr
210,Brian Lee,PROJECT MANAGER,NEW YORK,Eng.,,True,terminated,97327.96,2015-04-08,en
211,Christopher Smith,civil Engineer,BERLIN,HR,,True,terminated,94324.63,2016-08-06,tr
212,Denise Mccann,Accountant,New York,human resources,,True,Terminated,52547.07,2015-11-03,tr
213,Melissa Martinez,HR ANALYST,Berlin,project management,,True,Terminated,54823.82,2017-08-14,en
214,Katherine Salas,hr analyst,istanbul,IT,,True,Active ,55162.81,2018-06-16,ru
215,Julie Alexander,DATA ANALYST,New York,human resources,,True,Active,66472.78,2020-10-04,en
216,Anthony Everett,civil Engineer,DUBAI,finance,,True,TERMINATED,64994.11,2015-02-18,en
217,Rodney Morales,PROJECT MANAGER,istanbul,Eng.,,True,ACTIVE,73749.36,2024-01-28,en
218,Mark Brown,software engineer,,Human Resources,,True,Active ,90674.91,2017-02-05,ru
219,Justin Torres,ACCOUNTANT,New York City,Engineering,,True,ACTIVE,76483.36,2019-09-14,en
220,Bailey Duran DDS,SW Engineer,dubai,IT,,True,TERMINATED,87362.22,2015-04-17,ru
221,Courtney Mills,civil Engineer,berlin,HR,,True,TERMINATED,93959.19,2024-02-26,tr
222,Jeremy Dalton,project manager,Moskva,???,,True,Active,110310.51,2021-05-14,tr
223,Elizabeth Oliver DDS,TBD,Istanbul ,unassigned,,False,Active ,51685.04,2024-01-17,en
224,Theresa Clark,Civil Engineer,new york,Finance,,True,active,89426.78,2019-06-09,tr
225,Matthew Moore,HR Analyst,moscow,FIN,,True,TERMINATED,61229.51,2021-11-18,ru
226,Benjamin Smith,PROJECT MANAGER,Istanbul ,Eng.,,True,terminated,70089.9,2023-08-24,tr
227,Kirk Carter,accountant,Moskva,I.T.,,False,Active ,72360.3,2024-12-05,en
228,Michael Warner,project manager,DUBAI,Project Management,,True,active,109351.0,2019-09-15,en
229,Michael Bradshaw,Accountant,"London, UK",PM,,True,Active ,67341.66,2023-12-18,en
230,Lori Guerrero,civil engineer,New York,FIN,,True,terminated,61436.18,2018-10-16,tr
231,Jessica Stephens,Data Analyst,Berlin ,H.R.,,False,terminated,66588.31,2023-03-09,tr
232,Susan Serrano,misc,NYC,finance,,True,TERMINATED,74637.93,2022-06-04,tr
233,Christopher Parker,Civil Engineer,Berlin ,Engineering,,True,ACTIVE,73942.83,2022-05-31,ru
234,Laura Roberts,Project Manager,Moskva ,project management,,True,terminated,83164.8,2015-09-10,en
235,Michael Lyons,Accountant,Dubai,HR,,True,active,74552.16,2020-04-28,tr
236,Kathryn Snyder,software engineer,Istambul,Finance,,True,active,94187.58,2017-02-28,en
237,Andrew Reynolds,HR Analyst,MOSCOW,H.R.,,True,Terminated,67854.35,2018-08-28,ru
238,David Davis,ACCOUNTANT,Berlin ,İnsan Kaynakları,,True,terminated,54445.99,2016-03-08,tr
239,Sara Johnston,SW Engineer,???,I.T.,,True,TERMINATED,104582.54,2022-08-20,tr
240,Yvonne Chambers,Data Analyst,???,PM,,True,Active ,86396.1,2024-08-16,tr
241,Andrew Avila,PROJECT MANAGER,Dubai,engineering,,True,Terminated,90838.64,2024-03-28,ru
242,Matthew Moon,Civil Engineer,"Dubai, UAE",I.T.,,True,ACTIVE,71135.41,2016-12-12,en
243,Kevin Walters,software engineer,Istanbul,Engineering,,True,TERMINATED,88942.88,2022-08-22,en
244,Brandon Bailey MD,Hr Analyst,ISTANBUL,PMO,,True,Terminated,67362.3,2019-05-03,en
245,Shannon Rivera,Data Analyst,Istanbul ,engineering,,True,ACTIVE,72964.84,2020-04-25,en
246,Donna Landry,HR ANALYST,dubai,IT,,True,TERMINATED,61068.51,2017-10-29,en
247,Krista Gibson,accountant,LONDON,Information Technology,,True,ACTIVE,67813.18,2018-10-09,ru
248,Frank Cordova,DATA ANALYST,DUBAI,FIN,,True,Active,63410.57,2019-07-14,tr
249,Jose Travis,Project Manager,new york,H.R.,,True,Terminated,71765.95,2023-02-23,tr
250,Kimberly Gutierrez,Accountant,Istanbul ,PM,,True,Active,64123.43,2017-01-19,tr
251,Isaiah Avila,HR ANALYST,New York,ENG,,True,Terminated,59639.27,2022-02-11,tr
252,Olivia Harris,accountant,Berlin,project management,,True,TERMINATED,51621.86,2019-08-04,tr
253,Tanya Kim,civil Engineer,london,finance,,True,TERMINATED,67536.56,2023-09-04,en
254,Barbara Dudley,Hr Analyst,TBD,Project Management,,True,Terminated,56935.01,2015-02-27,ru
255,Cynthia Moore,Data Analyst,berlin,Human Resources,,True,ACTIVE,58594.79,2015-07-07,ru
256,Kristen Davis,Software Engineer,New York City,I.T.,,True,Terminated,77247.69,2017-07-24,en
257,Susan Murray MD,ACCOUNTANT,???,Engineering,,True,active,69516.21,2021-08-29,en
258,Kathleen Moran,data analyst,Dubai,Human Resources,,True,Terminated,74154.88,2022-01-25,en
259,Denise Davenport,PROJECT MANAGER,New York City,İnsan Kaynakları,,True,Active ,75245.71,2016-03-11,ru
260,Mrs. Kristen Reyes,accountant,Istanbul ,ENG,,True,TERMINATED,54811.21,2020-05-22,ru
261,Katie Suarez,civil Engineer,Istanbul,Human Resources,,True,active,58001.93,2020-02-14,ru
262,Desiree Tyler,hr analyst,New York City,Human Resources,,True,Terminated,52817.68,2015-07-07,en
263,Timothy Romero,SW Engineer,istanbul,FIN,,True,ACTIVE,76886.51,2019-04-29,tr
264,Diane Evans,hr analyst,"London, UK",Engineering,,True,active,59768.76,2019-04-05,ru
265,Yvonne Burns,software engineer,Berlin,Eng.,,False,Terminated,82004.84,2023-08-10,tr
266,Joshua Reed,Software Engineer,berlin,Finance,,True,Terminated,106691.29,2021-11-15,en
267,Kimberly Gibson,Software Engineer,Moskva,Information Technology,,True,Active ,86508.16,2019-03-31,ru
268,Colin Terry,Accountant,Istanbul,PMO,,True,Active ,53561.21,2019-08-16,en
269,Cynthia Rowe,ACCOUNTANT,Berlin,İnsan Kaynakları,,True,TERMINATED,69637.88,2024-02-27,en
270,Patrick Thornton,DATA ANALYST,???,Information Technology,,False,terminated,78061.86,2018-04-10,tr
271,Jasmin Alvarado,Hr Analyst,BERLIN,Human Resources,,False,Active ,60271.29,2020-02-16,en
272,Veronica Simpson,civil engineer,DUBAI,H.R.,,True,Terminated,93247.61,2015-07-18,tr
273,Jonathan Lawrence,Data Analyst,"London, UK",it,,True,active,76019.11,2021-10-30,tr
274,Shelly Alexander,Project Manager,ISTANBUL,PM,,True,Active,105000.71,2024-08-26,ru
275,Joyce Bowen,ACCOUNTANT,dubai,engineering,,True,TERMINATED,70171.21,2020-08-25,tr
276,Matthew Moore,Accountant,DUBAI,HR,,True,TERMINATED,75241.68,2020-11-11,en
277,Wayne Morgan,data analyst,MOSCOW,Engineering,,True,ACTIVE,60632.74,2022-09-29,ru
278,Marie Christian,software engineer,Istanbul ,HR,,True,Active ,115979.97,2019-04-12,ru
279,Shannon James,CIVIL ENGINEER,LONDON,IT,,True,Active ,91459.46,2021-02-16,tr
280,Nathan Malone,Software Engineer,berlin,ENG,,True,Active,112780.17,2017-12-18,en
281,Amanda Jones,Project Manager,Istanbul ,Finance,,True,active,86131.5,2022-06-04,ru
282,Tammie Bright,accountant,LONDON,HR,,True,active,54781.11,2024-11-27,en
