employee_id,full_name,role,city,department_id,is_payroll,employee_status,hire_date
87,Shirley Suarez,Data Analyst,Moscow,1,True,terminated,2021-09-08
88,Christopher Bass,Data Analyst,Moscow,2,True,terminated,2016-04-11
89,Lisa Archer,Accountant,London,3,True,terminated,2023-08-10
90,Aimee Montoya,Civil Engineer,New York,3,False,terminated,2018-12-21
91,Matthew Mcmillan,Software Engineer,London,4,True,terminated,2018-08-23
92,Brian Rodriguez,Software Engineer,Berlin,3,True,active,2018-09-26
94,Christina Walters,Data Analyst,Berlin,1,True,terminated,2022-01-02
95,John Whitehead,Civil Engineer,Dubai,2,True,terminated,2020-01-26
96,Anna Henderson,Data Analyst,Moscow,3,True,terminated,2021-05-30
97,Aaron Wise,Accountant,Istanbul,5,False,active,2016-12-07
98,Deborah Figueroa,Project Manager,Istanbul,4,True,terminated,2015-09-27
99,Jessica Smith,Project Manager,Moscow,4,False,active,2022-06-05
100,Stephen Mckee,Accountant,Istanbul,1,True,terminated,2022-03-31
101,Sandra Aguilar,Project Manager,London,1,True,active,2024-06-20
102,Cameron Parker,Accountant,Berlin,3,True,active,2015-06-28
103,Rebecca Valencia,Data Analyst,New York,4,True,active,2021-05-25
104,Christine Wright,HR Analyst,London,4,False,active,2020-10-14
106,Marc Moore,Project Manager,New York,4,True,active,2018-03-21
107,Sharon Cherry,Accountant,Dubai,4,True,active,2016-03-31
110,Sharon Cochran,Civil Engineer,Berlin,4,True,terminated,2016-02-29
111,Richard Rodriguez,Project Manager,Dubai,2,True,terminated,2024-02-06
112,Shannon Walker,HR Analyst,Moscow,1,True,active,2015-05-30
113,Julia Torres,Data Analyst,Istanbul,3,True,terminated,2018-10-20
114,Crystal Johnson,Civil Engineer,London,3,True,active,2022-05-31
115,Garrett Lin,HR Analyst,New York,5,False,terminated,2023-11-16
116,Diana May,Civil Engineer,Moscow,3,False,terminated,2015-05-13
117,William Herrera,Software Engineer,Istanbul,3,True,active,2020-08-06
118,Ashley Waller,Data Analyst,London,3,True,active,2016-12-08
119,Victor Baker,Data Analyst,London,3,True,terminated,2020-09-14
120,Jeffrey Chandler,Software Engineer,Moscow,2,True,terminated,2015-09-27
121,Larry Dixon,Software Engineer,London,5,True,active,2023-10-01
122,Kenneth Scott,Accountant,Dubai,2,True,active,2020-10-26
123,April Frost,HR Analyst,Moscow,2,True,active,2018-10-14
124,Michelle Harmon,Data Analyst,Moscow,1,True,active,2018-05-22
125,Helen Jones,Civil Engineer,Istanbul,3,True,active,2018-07-31
126,Erin Edwards,Accountant,New York,2,True,active,2019-04-23
127,Michelle Evans,Accountant,London,2,True,terminated,2015-04-05
128,Jason Powell,Accountant,London,2,True,active,2015-02-03
129,Cameron Fisher,Software Engineer,London,3,False,active,2020-01-19
130,Megan Orr,HR Analyst,New York,5,True,terminated,2020-09-16
131,Elizabeth Kelley,HR Analyst,Berlin,1,True,terminated,2016-10-27
133,Mary Marshall,Project Manager,Dubai,5,True,active,2016-08-28
134,Daniel Kennedy,HR Analyst,Istanbul,5,True,terminated,2020-04-15
135,Rebecca Jackson,Accountant,Dubai,2,True,terminated,2022-07-31
136,Jose Schultz,HR Analyst,Dubai,5,True,terminated,2022-09-28
137,Robert Potter,Accountant,London,4,False,terminated,2023-09-02
138,Courtney Gonzalez,Project Manager,New York,3,True,terminated,2016-07-16
139,David Alvarez,Data Analyst,Berlin,2,False,active,2021-03-04
140,Angel Perry,Project Manager,London,4,False,terminated,2024-07-14
141,Cheyenne Horton,Software Engineer,Istanbul,2,True,active,2018-03-11
142,David Douglas Jr.,Project Manager,Dubai,2,True,active,2023-11-13
143,Patricia Rodriguez,Software Engineer,Berlin,2,True,active,2017-12-04
144,Christopher Rubio,Project Manager,Istanbul,3,True,active,2019-07-19
145,Amber Wright,Project Manager,Berlin,1,True,active,2022-11-15
146,Joyce Solis,Accountant,London,2,True,terminated,2021-01-07
147,Victoria Larson,Civil Engineer,Istanbul,5,True,terminated,2021-04-28
148,Stephanie Salazar,Software Engineer,Berlin,3,True,active,2015-10-10
149,Kathy Rivas,HR Analyst,Moscow,4,True,terminated,2024-10-22
150,Stephanie Manning,Accountant,Istanbul,1,True,active,2019-10-04
151,David Wright,Project Manager,London,2,True,terminated,2023-08-04
152,Pamela Boyd,Accountant,Istanbul,1,True,terminated,2021-01-19
153,Denise Jones,HR Analyst,Moscow,5,True,terminated,2015-09-07
154,Devon Flores,Civil Engineer,Berlin,4,True,terminated,2020-04-23
155,Brenda Hall,Civil Engineer,Istanbul,2,True,terminated,2020-01-17
156,Michelle Brown,Project Manager,Moscow,2,True,active,2024-10-01
157,Joshua Perry,Data Analyst,New York,2,True,terminated,2018-03-05
158,Jason Stein,Project Manager,London,3,False,terminated,2019-02-27
159,Melissa Gates,Data Analyst,London,5,True,active,2017-07-31
160,Jamie Smith,Project Manager,Berlin,4,True,terminated,2024-12-21
161,Paul Castaneda,Civil Engineer,Dubai,5,False,active,2020-02-11
163,Lindsey Walker,Civil Engineer,Dubai,2,True,active,2019-07-22
164,Jeffrey Johnson,Data Analyst,Berlin,2,True,active,2015-12-05
165,Michael Powell,Accountant,London,5,True,active,2022-09-04
166,John Anderson,Civil Engineer,Berlin,2,True,active,2022-08-05
167,Alyssa Long,Accountant,New York,2,False,terminated,2021-09-05
168,Alyssa Day,Software Engineer,New York,3,True,terminated,2021-12-08
170,Daniel Murphy,Accountant,Moscow,4,False,terminated,2019-04-27
171,Jamie Walton,Data Analyst,New York,4,True,active,2018-02-04
173,Joshua Cooke,Data Analyst,New York,3,True,terminated,2018-07-31
174,Matthew Harrington,Project Manager,Dubai,5,True,terminated,2023-08-11
175,Nicole Herring,Project Manager,Moscow,2,True,active,2019-09-30
176,Alex Hernandez,Accountant,Moscow,5,False,terminated,2015-12-15
178,Michael Wang,Software Engineer,Dubai,4,True,active,2024-04-28
179,Lawrence Adkins,Software Engineer,Istanbul,3,True,terminated,2024-02-01
180,Robert Oconnell,Data Analyst,Moscow,3,True,active,2022-01-23
181,Alexander Collins,Data Analyst,Istanbul,4,True,terminated,2023-12-05
182,Tina Sanders,Project Manager,Berlin,5,False,active,2019-05-11
183,Angela Vaughn,Software Engineer,London,3,True,terminated,2019-03-10
184,Ashley Barton,Accountant,Istanbul,4,True,terminated,2021-03-22
185,Lindsay Martinez,Project Manager,London,2,True,active,2022-04-28
187,Jonathan Peterson,Accountant,Dubai,5,True,terminated,2021-02-15
188,Samantha Garcia,Civil Engineer,London,2,True,terminated,2017-05-09
189,Madison Poole,HR Analyst,Berlin,5,True,active,2022-11-23
190,Jessica Gross,HR Analyst,New York,3,True,active,2024-04-16
191,Debra Morton,Accountant,Dubai,4,True,terminated,2020-10-12
192,Karen Graham,Project Manager,New York,4,True,active,2020-12-29
193,Debra Christian,Project Manager,Istanbul,2,True,terminated,2023-07-20
194,Angelica Keith,Civil Engineer,Moscow,4,False,terminated,2022-04-16
195,John Bishop,Project Manager,Istanbul,1,True,terminated,2017-08-17
197,Daniel Salinas,HR Analyst,Dubai,4,False,active,2024-10-21
199,Adam Vaughan,Accountant,Moscow,2,True,terminated,2021-03-16
200,Nathan Freeman,HR Analyst,Berlin,1,True,terminated,2017-09-14
201,Melissa Brewer,Project Manager,Dubai,5,True,active,2023-08-22
202,Ricky Davis II,Project Manager,Moscow,1,True,active,2019-10-01
203,Elizabeth Perkins,Project Manager,London,5,True,terminated,2022-02-11
204,Joseph Coleman,Data Analyst,Dubai,3,False,active,2023-04-26
205,Erin Warner,Data Analyst,Dubai,1,True,active,2019-03-04
206,David Martinez,Project Manager,Dubai,1,False,terminated,2019-01-15
208,Cathy Robinson,HR Analyst,Istanbul,5,True,active,2022-07-20
209,Dr. William Warren,Software Engineer,Istanbul,5,True,terminated,2018-04-09
210,Brian Lee,Project Manager,New York,2,True,terminated,2015-04-08
211,Christopher Smith,Civil Engineer,Berlin,1,True,terminated,2016-08-06
212,Denise Mccann,Accountant,New York,1,True,terminated,2015-11-03
213,Melissa Martinez,HR Analyst,Berlin,4,True,terminated,2017-08-14
214,Katherine Salas,HR Analyst,Istanbul,5,True,active,2018-06-16
215,Julie Alexander,Data Analyst,New York,1,True,active,2020-10-04
216,Anthony Everett,Civil Engineer,Dubai,3,True,terminated,2015-02-18
217,Rodney Morales,Project Manager,Istanbul,2,True,active,2024-01-28
219,Justin Torres,Accountant,New York,2,True,active,2019-09-14
220,Bailey Duran DDS,Software Engineer,Dubai,5,True,terminated,2015-04-17
221,Courtney Mills,Civil Engineer,Berlin,1,True,terminated,2024-02-26
224,Theresa Clark,Civil Engineer,New York,3,True,active,2019-06-09
225,Matthew Moore,HR Analyst,Moscow,3,True,terminated,2021-11-18
226,Benjamin Smith,Project Manager,Istanbul,2,True,terminated,2023-08-24
227,Kirk Carter,Accountant,Moscow,5,False,active,2024-12-05
228,Michael Warner,Project Manager,Dubai,4,True,active,2019-09-15
229,Michael Bradshaw,Accountant,London,4,True,active,2023-12-18
230,Lori Guerrero,Civil Engineer,New York,3,True,terminated,2018-10-16
231,Jessica Stephens,Data Analyst,Berlin,1,False,terminated,2023-03-09
233,Christopher Parker,Civil Engineer,Berlin,2,True,active,2022-05-31
234,Laura Roberts,Project Manager,Moscow,4,True,terminated,2015-09-10
235,Michael Lyons,Accountant,Dubai,1,True,active,2020-04-28
236,Kathryn Snyder,Software Engineer,Istanbul,3,True,active,2017-02-28
237,Andrew Reynolds,HR Analyst,Moscow,1,True,terminated,2018-08-28
241,Andrew Avila,Project Manager,Dubai,2,True,terminated,2024-03-28
242,Matthew Moon,Civil Engineer,Dubai,5,True,active,2016-12-12
243,Kevin Walters,Software Engineer,Istanbul,2,True,terminated,2022-08-22
244,Brandon Bailey MD,HR Analyst,Istanbul,4,True,terminated,2019-05-03
245,Shannon Rivera,Data Analyst,Istanbul,2,True,active,2020-04-25
246,Donna Landry,HR Analyst,Dubai,5,True,terminated,2017-10-29
247,Krista Gibson,Accountant,London,5,True,active,2018-10-09
248,Frank Cordova,Data Analyst,Dubai,3,True,active,2019-07-14
249,Jose Travis,Project Manager,New York,1,True,terminated,2023-02-23
250,Kimberly Gutierrez,Accountant,Istanbul,4,True,active,2017-01-19
251,Isaiah Avila,HR Analyst,New York,2,True,terminated,2022-02-11
252,Olivia Harris,Accountant,Berlin,4,True,terminated,2019-08-04
253,Tanya Kim,Civil Engineer,London,3,True,terminated,2023-09-04
255,Cynthia Moore,Data Analyst,Berlin,1,True,active,2015-07-07
256,Kristen Davis,Software Engineer,New York,5,True,terminated,2017-07-24
258,Kathleen Moran,Data Analyst,Dubai,1,True,terminated,2022-01-25
260,Mrs. Kristen Reyes,Accountant,Istanbul,2,True,terminated,2020-05-22
261,Katie Suarez,Civil Engineer,Istanbul,1,True,active,2020-02-14
262,Desiree Tyler,HR Analyst,New York,1,True,terminated,2015-07-07
263,Timothy Romero,Software Engineer,Istanbul,3,True,active,2019-04-29
264,Diane Evans,HR Analyst,London,2,True,active,2019-04-05
265,Yvonne Burns,Software Engineer,Berlin,2,False,terminated,2023-08-10
266,Joshua Reed,Software Engineer,Berlin,3,True,terminated,2021-11-15
267,Kimberly Gibson,Software Engineer,Moscow,5,True,active,2019-03-31
268,Colin Terry,Accountant,Istanbul,4,True,active,2019-08-16
271,Jasmin Alvarado,HR Analyst,Berlin,1,False,active,2020-02-16
272,Veronica Simpson,Civil Engineer,Dubai,1,True,terminated,2015-07-18
273,Jonathan Lawrence,Data Analyst,London,5,True,active,2021-10-30
274,Shelly Alexander,Project Manager,Istanbul,4,True,active,2024-08-26
275,Joyce Bowen,Accountant,Dubai,2,True,terminated,2020-08-25
276,Matthew Moore,Accountant,Dubai,1,True,terminated,2020-11-11
277,Wayne Morgan,Data Analyst,Moscow,2,True,active,2022-09-29
278,Marie Christian,Software Engineer,Istanbul,1,True,active,2019-04-12
279,Shannon James,Civil Engineer,London,5,True,active,2021-02-16
280,Nathan Malone,Software Engineer,Berlin,2,True,active,2017-12-18
281,Amanda Jones,Project Manager,Istanbul,3,True,active,2022-06-04
282,Tammie Bright,Accountant,London,1,True,active,2024-11-27
284,Shelia Wallace,Civil Engineer,Istanbul,3,True,terminated,2020-09-14
288,Carolyn Miller,Data Analyst,Dubai,5,False,terminated,2019-11-28
289,Lisa Allen,Accountant,London,4,True,active,2024-12-12
291,David Smith,Data Analyst,Dubai,2,True,active,2024-07-22
292,Stephanie Byrd,Project Manager,Berlin,5,False,active,2022-05-08
293,Jeremy Reed,HR Analyst,Moscow,5,True,terminated,2024-01-22
294,Margaret Coleman,HR Analyst,London,1,True,terminated,2019-01-09
295,Ryan Gonzalez,Project Manager,London,2,True,active,2022-01-31
296,John Young,Civil Engineer,Berlin,5,True,terminated,2018-04-06
297,Laura Haney,Accountant,London,4,True,active,2024-10-12
298,William Barrett,HR Analyst,Dubai,3,True,active,2019-05-09
299,Keith Jennings,Civil Engineer,London,1,True,terminated,2024-05-15
300,Amber Obrien,Accountant,Berlin,4,True,terminated,2016-11-09
301,Tanner Mitchell DDS,HR Analyst,Moscow,3,True,active,2016-04-09
302,Heather Fields,Accountant,Dubai,4,True,terminated,2024-12-27
303,Megan Le,HR Analyst,Istanbul,2,True,active,2017-06-17
304,Sara Fuller,Accountant,Berlin,5,True,terminated,2019-04-28
305,Maria Parker,HR Analyst,Moscow,2,True,active,2016-01-17
306,Kevin Oconnor,Data Analyst,Dubai,5,True,terminated,2023-08-15
307,Edward Burgess,Software Engineer,New York,5,True,terminated,2017-11-21
308,Carlos Ryan,Accountant,Moscow,5,True,terminated,2021-07-25
309,Kiara Mcintyre,Accountant,New York,4,True,terminated,2017-11-05
310,Dawn Summers,Data Analyst,Berlin,4,True,active,2023-12-25
311,Dr. Paul Morgan,Data Analyst,Berlin,2,True,active,2021-10-30
312,Victor Taylor,Data Analyst,Dubai,4,True,active,2015-05-18
313,Shannon Ramsey,Data Analyst,Berlin,5,True,terminated,2022-07-05
314,Tracy Ballard,Data Analyst,London,5,True,active,2017-07-15
315,Richard Smith,Project Manager,Istanbul,4,False,terminated,2017-11-21
317,Lauren Carson,Software Engineer,London,2,True,active,2017-01-01
318,Ashley Hall,HR Analyst,New York,2,True,terminated,2017-10-19
319,Stephen Hoffman,Civil Engineer,New York,1,True,active,2021-06-11
321,Susan Turner,Project Manager,London,5,True,active,2017-02-05
322,Charles Shah,Accountant,New York,3,True,terminated,2018-02-19
323,Johnathan Davis,Civil Engineer,Istanbul,2,True,active,2015-02-09
324,Brandy Chavez,Software Engineer,London,2,True,terminated,2017-11-07
325,Natalie Bautista,Project Manager,Dubai,4,True,terminated,2022-08-15
326,Patrick Moore,Project Manager,Istanbul,5,True,terminated,2020-03-14
327,Brett Burns,Data Analyst,Istanbul,3,True,active,2022-03-25
328,Trevor Johnson,Software Engineer,New York,3,False,active,2017-05-12
329,Jeremy Sampson,Software Engineer,London,1,True,active,2024-12-05
330,Ariana Jennings,Software Engineer,New York,2,False,active,2024-10-07
331,Vanessa Howard,Data Analyst,New York,4,True,terminated,2018-11-23
332,Colton Martinez,Project Manager,Berlin,1,True,terminated,2018-03-20
333,Jordan Bates,Project Manager,Berlin,4,True,terminated,2019-11-26
334,Linda Smith,HR Analyst,Istanbul,4,True,active,2018-01-18
335,Dana Martinez,Civil Engineer,Dubai,4,False,active,2018-08-06
337,Daniel Kane,Data Analyst,New York,3,True,terminated,2020-04-09
338,Charles Lester,Civil Engineer,Istanbul,4,True,terminated,2022-06-20
339,Scott Thomas,HR Analyst,London,3,True,active,2016-04-07
340,David Thompson,HR Analyst,Dubai,3,True,active,2021-09-08
341,Allison Smith,Software Engineer,New York,2,False,terminated,2020-06-21
342,Cynthia Morris,Data Analyst,New York,3,True,active,2018-04-22
343,Anthony Harmon,Accountant,Dubai,2,True,terminated,2020-12-15
344,Nichole Alvarez,Software Engineer,London,3,True,terminated,2023-02-01
345,Kayla Rodriguez,Accountant,Dubai,2,True,terminated,2016-06-15
346,Theresa Williams,HR Analyst,Moscow,1,True,active,2021-10-17
347,Sharon Boyd,Civil Engineer,Moscow,2,True,active,2024-03-27
348,Victor Brown,Project Manager,New York,1,False,active,2021-05-23
349,James Parks,Data Analyst,Istanbul,5,True,terminated,2019-07-03
350,Theodore Jones Jr.,Project Manager,New York,5,True,terminated,2021-02-12
351,Ana Hill,Software Engineer,London,3,True,active,2018-05-15
352,Kimberly Nguyen,Accountant,Istanbul,1,False,active,2017-08-12
353,Kerry Chavez DDS,Accountant,New York,5,True,active,2016-01-26
355,Patricia Le,Project Manager,Dubai,4,True,active,2023-03-16
356,Jesse Perez,Project Manager,London,2,True,active,2019-06-21
357,Jesse Perry,Accountant,London,2,True,terminated,2015-10-21
359,Christian Leblanc,HR Analyst,London,4,True,terminated,2016-08-27
360,Ronald Davis,Software Engineer,Moscow,1,True,active,2020-06-01
361,Parker Cain,Accountant,Dubai,1,True,active,2022-05-05
362,Laurie Hoffman,Civil Engineer,Moscow,3,True,terminated,2020-06-08
363,Bryan Gomez,Accountant,Berlin,2,True,active,2018-11-21
365,Tracy Burke,Data Analyst,New York,2,True,active,2021-01-29
366,Kenneth Lewis,HR Analyst,Istanbul,5,True,active,2018-07-24
367,Courtney Rodriguez,HR Analyst,Berlin,2,True,terminated,2023-04-13
368,Holly Farmer,HR Analyst,Istanbul,1,True,terminated,2022-09-19
370,Sabrina Austin,HR Analyst,Dubai,2,True,terminated,2023-03-31
371,Allison Hickman,Accountant,Dubai,4,True,terminated,2023-03-31
372,Debra White,HR Analyst,Berlin,5,True,terminated,2015-08-12
374,Sergio Knight,Data Analyst,Moscow,3,True,active,2020-09-26
375,Charles Schultz,Civil Engineer,Istanbul,5,True,terminated,2015-07-30
377,Glen Wood,Accountant,Berlin,2,True,terminated,2021-12-13
378,Paula Bradley,HR Analyst,Berlin,1,False,terminated,2015-12-26
380,Megan Nelson,HR Analyst,London,3,True,terminated,2023-03-08
381,Karla Ramos,Software Engineer,Berlin,4,True,terminated,2023-03-06
382,Paul Wilson,Data Analyst,London,2,False,active,2021-11-25
383,Douglas Gregory,Accountant,London,3,True,active,2021-03-02
384,Mr. Andrew Foster,Software Engineer,Moscow,3,True,active,2022-03-29
386,Chad Scott,Project Manager,Moscow,3,True,active,2022-12-17
387,Adam Burgess,HR Analyst,New York,1,True,terminated,2016-01-15
388,James Padilla,HR Analyst,Berlin,4,True,terminated,2020-10-15
389,Sandra Drake,Software Engineer,Istanbul,1,True,active,2015-07-08
391,Thomas Atkins,Accountant,Istanbul,1,True,active,2021-06-09
392,Laura Mckinney,Accountant,Istanbul,3,False,active,2019-05-25
393,Brian Smith,Project Manager,Dubai,5,True,active,2022-11-01
394,Robert Montgomery,Software Engineer,Moscow,3,True,active,2022-06-17
395,Tamara Davis,Civil Engineer,New York,4,True,active,2020-09-11
396,Dana Chapman,Project Manager,London,3,True,terminated,2015-09-28
397,Jennifer Collins,Accountant,Istanbul,4,True,active,2021-08-22
398,Gary Jackson,Software Engineer,London,5,False,terminated,2020-07-17
399,Ashley Hicks,HR Analyst,Dubai,1,True,active,2024-11-02
400,Hannah Luna,Data Analyst,New York,3,True,active,2021-02-26
401,Robin Young,Project Manager,Moscow,3,True,active,2021-02-10
402,Craig Morrison,HR Analyst,Dubai,4,True,terminated,2015-03-06
403,Mary Thompson,Civil Engineer,Dubai,4,True,terminated,2019-10-04
404,Kathleen Webster,HR Analyst,London,3,True,active,2019-02-12
405,Joann Glass,Civil Engineer,Moscow,4,True,active,2020-10-18
406,Madison Weber,Data Analyst,Berlin,2,False,terminated,2020-04-05
407,Lori Hernandez,Project Manager,Dubai,4,True,active,2022-01-21
408,Jeremy Turner,Data Analyst,Berlin,5,True,active,2021-11-27
409,Anthony Romero,Accountant,New York,1,True,active,2020-11-30
410,Jesse Brown,Software Engineer,New York,2,True,terminated,2015-08-11
411,Angela Lin,Software Engineer,New York,1,True,terminated,2019-05-17
412,Lisa Hunter,Civil Engineer,New York,5,True,terminated,2022-02-23
413,Julian Conner,Project Manager,London,3,True,terminated,2023-08-22
414,Joanna Pacheco,Accountant,Berlin,2,False,active,2018-03-06
416,Antonio Garcia,Project Manager,Istanbul,2,True,active,2018-08-17
417,Gwendolyn Klein,Software Engineer,Istanbul,3,True,terminated,2017-04-01
418,Carrie Wright,HR Analyst,London,4,True,active,2017-10-23
419,Jeffrey Mills,Civil Engineer,Moscow,2,True,terminated,2020-07-02
421,George Harper,Accountant,London,1,True,active,2022-05-30
423,Michael Mitchell,Civil Engineer,Dubai,4,True,terminated,2020-11-12
424,Mary Escobar,Civil Engineer,Dubai,5,True,active,2016-06-18
425,Felicia Aguilar,Software Engineer,Istanbul,3,False,active,2018-10-13
426,Gregory Ponce,Data Analyst,Dubai,3,True,terminated,2019-08-28
429,Robin Santiago,Data Analyst,Dubai,5,True,active,2016-01-27
430,Nancy Jennings,Software Engineer,New York,5,True,terminated,2016-12-23
431,Maria Henderson,Project Manager,Dubai,1,True,terminated,2021-01-10
432,Jack White,Civil Engineer,Istanbul,4,True,terminated,2016-03-27
433,Travis Tucker,HR Analyst,Istanbul,2,True,active,2020-02-07
434,Chad Jones,Data Analyst,London,2,True,terminated,2024-07-20
435,Ashley Wise,HR Analyst,London,2,True,active,2024-09-01
436,Sophia Johnson,Civil Engineer,Berlin,4,True,active,2021-06-07
437,Ralph Anderson,Data Analyst,London,1,True,terminated,2015-12-07
438,Christopher Guerra,Project Manager,Moscow,2,False,active,2021-07-18
439,Rhonda Martin,HR Analyst,London,2,True,terminated,2015-05-14
440,Jason Rhodes,Data Analyst,London,5,True,terminated,2019-04-18
441,Jeremy Mitchell,HR Analyst,London,3,True,active,2021-07-04
442,Joann Ferguson,Project Manager,Istanbul,3,False,terminated,2020-04-09
443,Robert Harrison,Data Analyst,Berlin,4,False,active,2016-11-05
444,Holly Valentine,HR Analyst,Moscow,4,True,terminated,2022-03-25
445,Mrs. Diane Reyes,HR Analyst,New York,1,True,terminated,2024-06-10
446,Tracy Montoya,Project Manager,London,3,True,terminated,2020-02-11
447,Brenda Wright,HR Analyst,Berlin,5,True,active,2017-01-25
449,Ryan Rosales,Data Analyst,Istanbul,5,True,terminated,2023-03-04
450,Phillip Nelson,HR Analyst,New York,4,True,terminated,2022-03-11
451,Brittany Kim,Civil Engineer,Berlin,3,True,terminated,2021-10-14
452,Courtney Hayes,Data Analyst,Moscow,4,True,terminated,2015-12-25
453,Alexander Brown,Project Manager,Dubai,4,True,terminated,2020-04-28
454,Cynthia Vang,Civil Engineer,New York,5,True,terminated,2016-07-14
